DISP, '2013-08-01-00:00:00' 
735447,25.725783
735447.0417,25.741266
735447.0833,25.75325
735447.125,25.728352
735447.1667,25.724612
735447.2083,25.715666
735447.25,25.732972
735447.2917,25.733243
735447.3333,25.737434
735447.375,25.725996
735447.4167,25.686922
735447.4583,25.615034
735447.5,25.589061
735447.5417,25.579116
735447.5833,25.581021
735447.625,25.577687
735447.6667,25.603226
735447.7083,25.587439
735447.75,25.628704
735447.7917,25.638174
735447.8333,25.654594
735447.875,25.701048
735447.9167,25.702404
735447.9583,25.705303
735448,25.735111
735448.0417,25.716757
735448.0833,25.71894
735448.125,25.724653
735448.1667,25.735621
735448.2083,25.732967
735448.25,25.724509
735448.2917,25.698368
735448.3333,25.64615
735448.375,25.647383
735448.4167,25.621776
735448.4583,25.617656
735448.5,25.602463
735448.5417,25.620315
735448.5833,25.617622
735448.625,25.61275
735448.6667,25.632025
735448.7083,25.629911
735448.75,25.635284
735448.7917,25.642076
735448.8333,25.667565
735448.875,25.658199
735448.9167,25.669155
735448.9583,25.650911
735449,25.645978
735449.0417,25.618564
735449.0833,25.626481
735449.125,25.65019
735449.1667,25.675551
735449.2083,25.664491
735449.25,25.704343
735449.2917,25.667252
735449.3333,25.668304
735449.375,25.624856
735449.4167,25.618997
735449.4583,25.59633
735449.5,25.594099
735449.5417,25.596699
735449.5833,25.616437
735449.625,25.61168
735449.6667,25.615444
735449.7083,25.652242
735449.75,25.674473
735449.7917,25.705485
735449.8333,25.729646
735449.875,25.741377
735449.9167,25.78855
735449.9583,25.787495
735450,25.792941
735450.0417,25.780148
735450.0833,25.780212
735450.125,25.777641
735450.1667,25.782487
735450.2083,25.756268
735450.25,25.73907
735450.2917,25.716521
735450.3333,25.719132
735450.375,25.705986
735450.4167,25.720417
735450.4583,25.690372
735450.5,25.685396
735450.5417,25.714198
735450.5833,25.713428
735450.625,25.698731
735450.6667,25.667802
735450.7083,25.675152
735450.75,25.705675
735450.7917,25.72261
735450.8333,25.754237
735450.875,25.786106
735450.9167,25.823913
735450.9583,25.822454
735451,25.801306
735451.0417,25.828485
735451.0833,25.830444
735451.125,25.787436
